Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,"$3,071.63","$3,728.51","$5,808.34","$7,246.87","$8,706.82","$8,474.88","$11,121.42","$13,039.12","$12,157.31","$12,071.78","$11,726.81",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,"$7,727.85","$11,568.05","$15,646.82","$16,461.83","$16,569.60","$16,526.25","$15,901.43","$15,530.89","$15,317.14","$15,153.82","$15,366.29",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,"$13,701.90","$18,154.83","$31,157.69","$32,707.70","$37,798.39","$27,726.48","$31,453.22","$41,787.02","$41,807.65","$39,151.23","$40,979.64",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,$559.82,$778.39,"$1,346.09","$1,755.16","$1,810.58","$1,786.81","$2,201.29","$2,485.79","$2,452.15","$2,383.04","$2,560.50",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,"$2,747.21","$3,333.18","$5,342.14","$5,666.64","$5,561.90","$5,115.12","$6,244.00","$7,504.85","$6,935.59","$6,882.26","$7,123.34",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,$490.40,$245.43,$353.89,$404.11,$463.83,$454.37,$446.80,$484.58,$469.68,$326.44,$358.54,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,"$21,302.40","$24,031.95","$40,243.55","$44,328.48","$46,400.44","$40,764.14","$47,463.63","$52,086.53","$52,737.78","$52,309.43","$50,230.81",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,"$38,332.15","$37,813.23","$57,348.93","$63,223.47","$72,119.56","$69,672.00","$74,277.12","$88,002.61","$83,208.69","$84,669.29","$85,616.56",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,  ..  ,"$43,299.40","$62,260.23","$73,568.23",  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,"$2,401.53","$5,229.18","$9,500.84","$10,513.54","$10,791.02","$10,217.31","$12,785.05","$14,582.17","$15,253.33","$15,741.71","$14,528.33",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,$316.22,$954.55,"$2,082.18","$2,673.29","$3,441.22","$3,800.47","$4,514.94","$5,574.19","$6,264.64","$6,991.85","$7,590.02",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,$887.39,$648.81,$962.92,"$1,078.54","$1,257.68","$1,233.30","$1,236.09","$1,231.87","$1,281.38","$1,447.22","$1,545.94",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,$923.88,$583.09,$965.37,"$1,070.95","$1,191.71","$1,164.72","$1,147.24","$1,258.92","$1,222.19","$1,331.20","$1,407.40",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,"$1,172.76","$1,035.58","$2,144.83","$2,259.27","$3,094.11","$2,428.26","$2,953.19","$3,453.22","$3,191.16","$3,205.46","$3,147.07",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,"$1,175.15","$2,472.20","$3,709.08","$4,674.21","$5,433.71","$5,148.41","$6,250.65","$7,227.77","$7,885.06","$8,027.98","$7,903.93",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,$602.27,$372.19,$640.74,$712.12,$777.68,$754.99,$739.90,$790.57,$750.31,$796.76,$810.08,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,$899.30,"$1,229.04","$2,316.48","$3,145.65","$3,698.32","$3,517.39","$3,393.93","$3,766.11","$3,497.69","$3,623.22","$3,641.11",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,"$2,391.30","$4,062.32","$5,228.03","$6,024.08","$6,736.17","$6,546.57","$7,985.95","$8,963.68","$9,733.40","$10,461.58","$10,415.44",  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,"$2,706.98","$2,749.46","$4,677.71","$5,193.48","$5,385.74","$5,494.93","$5,688.67","$6,092.61","$6,448.16","$6,789.85",  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,  ..  ,  ..  ,"$64,104.75",  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  ,  ..  
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,"$9,641.58","$14,307.35","$26,455.13","$30,915.49","$34,950.35","$31,673.46","$30,438.90","$31,836.62","$28,868.27","$27,910.62","$27,194.39",  ..  
